event_id,organization_id,user_id,feature_category,event_type,event_date,event_timestamp
EVT-0000877,ORG-0008,USR-00080,issues,issue_resolved,2025-07-21,2025-07-21 12:27:35
EVT-0006754,ORG-0070,USR-00695,rocks,rock_created,2024-01-20,2024-01-20 13:23:19
EVT-0012061,ORG-0141,USR-01343,rocks,rock_updated,2024-12-14,2024-12-14 16:30:33
EVT-0012132,ORG-0142,USR-01360,headlines,headline_created,2023-06-08,2023-06-08 16:44:05
EVT-0000816,ORG-0008,USR-00087,todos,todo_completed,2024-11-20,2024-11-20 17:53:48
EVT-0012088,ORG-0141,USR-01343,rocks,rock_created,2025-08-18,2025-08-18 10:04:20
EVT-0010204,ORG-0111,USR-01078,headlines,headline_created,2025-05-29,2025-05-29 09:14:42
EVT-0007090,ORG-0071,USR-00723,meetings,meeting_completed,2026-01-17,2026-01-17 13:12:56
EVT-0010496,ORG-0114,USR-01116,headlines,headline_created,2025-12-25,2025-12-25 15:46:09
EVT-0004753,ORG-0046,USR-00515,rocks,rock_created,2024-12-16,2024-12-16 15:54:31
EVT-0005990,ORG-0062,USR-00643,scorecards,scorecard_updated,2023-12-26,2023-12-26 12:22:38
EVT-0009348,ORG-0098,USR-00961,headlines,headline_created,2024-09-27,2024-09-27 20:53:34
EVT-0010539,ORG-0114,USR-01096,headlines,headline_created,2026-02-22,2026-02-22 22:08:47
EVT-0002573,ORG-0028,USR-00304,headlines,headline_created,2025-04-24,2025-04-24 08:22:08
EVT-0000848,ORG-0008,USR-00091,scorecards,scorecard_updated,2025-03-23,2025-03-23 13:42:57
EVT-0004030,ORG-0037,USR-00407,rocks,rock_created,2025-05-19,2025-05-19 14:54:55
EVT-0008205,ORG-0087,USR-00825,headlines,headline_created,2025-08-02,2025-08-02 15:23:50
EVT-0011917,ORG-0139,USR-01333,headlines,headline_created,2023-06-27,2023-06-27 11:43:18
EVT-0011538,ORG-0136,USR-01285,scorecards,scorecard_score_entered,2024-08-19,2024-08-19 11:54:09
EVT-0005348,ORG-0053,USR-00579,meetings,meeting_completed,2024-11-25,2024-11-25 10:02:09
EVT-0008653,ORG-0092,USR-00867,issues,issue_resolved,2025-03-02,2025-03-02 12:13:09
EVT-0003743,ORG-0033,USR-00383,todos,todo_created,2025-10-23,2025-10-23 16:26:40
EVT-0005784,ORG-0059,USR-00618,meetings,meeting_completed,2025-02-22,2025-02-22 12:29:41
EVT-0015270,ORG-0187,USR-01818,meetings,meeting_created,2025-12-14,2025-12-14 14:25:59
EVT-0005554,ORG-0054,USR-00588,issues,issue_created,2025-05-16,2025-05-16 12:30:02
EVT-0016592,ORG-0014,USR-00165,todos,todo_completed,2026-01-06,2026-01-06 15:43:08
EVT-0007852,ORG-0081,USR-00790,meetings,meeting_created,2025-07-04,2025-07-04 05:07:32
EVT-0011009,ORG-0120,USR-01182,headlines,headline_created,2025-08-09,2025-08-09 14:25:14
